10361,4.0,12.0,110.0,4.0,4.0,4.0,01/16/2018,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,20,4.0,4.0,TCHC,Evaluation needs to be conducted in 2 years,4156547.0,77.0,3.0,92  CARLTON ST ,3.0,4.0,13,4.0,2010.0,2017.0
10362,5.0,19.0,238.0,3.0,4.0,2.0,11/28/2019,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,18,0,2.0,TCHC,Evaluation needs to be conducted in 2 years,4156554.0,73.0,3.0,3947  LAWRENCE AVE E,4.0,0,24,4.0,1970.0,2017.0
10363,2.0,3.0,20.0,0,2.0,2.0,11/28/2019,2.0,3.0,3.0,2.0,0,4.0,4.0,2.0,3.0,0,15,0,3.0,TCHC,Evaluation needs to be conducted in 1 year,4156555.0,52.0,3.0,3945  LAWRENCE AVE E,2.0,0,24,2.0,1970.0,2017.0
10364,2.0,3.0,15.0,0,3.0,3.0,11/28/2019,2.0,3.0,3.0,2.0,0,4.0,4.0,2.0,3.0,0,15,0,3.0,TCHC,Evaluation needs to be conducted in 1 year,4156556.0,55.0,3.0,3943  LAWRENCE AVE E,2.0,0,24,2.0,1970.0,2018.0
10365,3.0,9.0,88.0,4.0,4.0,4.0,03/05/2019,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,19,3.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153237.0,66.0,4.0,276  ST GEORGE ST ,3.0,0,11,3.0,1965.0,2017.0
10366,5.0,6.0,48.0,5.0,5.0,5.0,12/05/2019,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20,5.0,4.0,TCHC,Evaluation needs to be conducted in 3 years,4153704.0,96.0,5.0,7  COATSWORTH CRES ,5.0,4.0,19,5.0,1993.0,2017.0
10367,0,4.0,27.0,3.0,4.0,3.0,12/09/2019,4.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,2.0,18,3.0,4.0,TCHC,Evaluation needs to be conducted in 2 years,4154243.0,71.0,5.0,1900  SHEPPARD AVE W,3.0,0,07,5.0,2008.0,2017.0
10368,3.0,4.0,57.0,3.0,4.0,4.0,11/19/2019,4.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,19,0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154255.0,74.0,5.0,3345  WESTON RD ,4.0,4.0,07,3.0,1963.0,2017.0
10369,2.0,3.0,12.0,0,3.0,3.0,12/11/2018,4.0,3.0,3.0,3.0,0,5.0,3.0,4.0,4.0,4.0,16,0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154258.0,68.0,3.0,5  DAMASK AVE ,3.0,0,07,4.0,1973.0,2018.0
10370,0,3.0,28.0,0,2.0,2.0,12/11/2019,3.0,2.0,2.0,2.0,0,4.0,3.0,2.0,4.0,2.0,14,0,,PRIVATE,Building Audit,4155115.0,50.0,2.0,9  GREENTREE CRT ,2.0,0,05,3.0,1956.0,
10371,0,3.0,17.0,0,3.0,3.0,12/13/2018,3.0,3.0,4.0,4.0,0,5.0,4.0,4.0,3.0,4.0,16,0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155133.0,74.0,5.0,80  CLOUSTON AVE ,4.0,4.0,05,3.0,1968.0,2017.0
10372,2.0,4.0,40.0,0,3.0,3.0,03/08/2019,2.0,4.0,3.0,3.0,0,5.0,3.0,3.0,4.0,3.0,16,0,2.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155141.0,63.0,4.0,1860  JANE ST ,3.0,0,05,3.0,1954.0,2018.0
10373,4.0,3.0,20.0,0,2.0,2.0,12/21/2018,3.0,2.0,2.0,4.0,0,4.0,4.0,4.0,5.0,3.0,17,0,4.0,TCHC,Evaluation needs to be conducted in 2 years,4155624.0,68.0,3.0,1622  LAWRENCE AVE W,3.0,5.0,05,4.0,1955.0,2017.0
10374,0,4.0,30.0,0,3.0,3.0,11/26/2019,3.0,3.0,2.0,3.0,0,4.0,3.0,3.0,2.0,3.0,16,0,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 1 year,4155631.0,61.0,5.0,2  REPLIN RD ,3.0,3.0,08,3.0,2019.0,
10375,0,3.0,31.0,0,3.0,3.0,02/28/2019,3.0,4.0,3.0,4.0,0,3.0,4.0,4.0,3.0,3.0,15,0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4155637.0,68.0,4.0,3  FLEMINGTON RD ,3.0,0,08,4.0,1957.0,2017.0
10376,0,3.0,31.0,0,3.0,4.0,01/08/2018,3.0,2.0,4.0,4.0,0,5.0,4.0,4.0,4.0,3.0,15,0,2.0,TCHC,Evaluation needs to be conducted in 2 years,4155640.0,71.0,4.0,20  VARNA DR ,3.0,0,08,4.0,1957.0,2017.0
10377,4.0,17.0,253.0,3.0,3.0,3.0,01/10/2018,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,18,0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4155652.0,66.0,4.0,855  ROSELAWN AVE ,3.0,0,08,3.0,1974.0,2017.0
10378,4.0,12.0,200.0,4.0,4.0,4.0,03/20/2019,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,18,0,1.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152816.0,68.0,4.0,550  SCARBOROUGH GOLF CLUB RD ,3.0,0,24,4.0,1960.0,2017.0
10379,3.0,10.0,114.0,4.0,4.0,5.0,11/28/2019,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,19,0,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152822.0,83.0,5.0,3895  LAWRENCE AVE E,4.0,4.0,24,4.0,1975.0,2017.0
10380,3.0,7.0,48.0,3.0,4.0,4.0,01/18/2018,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,18,4.0,0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153720.0,70.0,4.0,2526  DANFORTH AVE ,3.0,0,19,3.0,1988.0,2020.0
10381,4.0,7.0,38.0,3.0,4.0,4.0,12/05/2019,3.0,2.0,4.0,3.0,0,5.0,3.0,3.0,3.0,3.0,17,0,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153721.0,68.0,5.0,700  KINGSTON RD ,3.0,0,19,4.0,1971.0,2017.0
10382,0,4.0,25.0,4.0,5.0,4.0,12/15/2017,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,16,0,,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4153728.0,88.0,4.0,2802  DANFORTH AVE ,4.0,0,19,5.0,2007.0,2017.0
10383,0,5.0,25.0,4.0,4.0,4.0,11/27/2019,4.0,4.0,4.0,4.0,0,5.0,4.0,4.0,3.0,3.0,17,0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153742.0,78.0,4.0,22  WOODLAWN AVE E,4.0,3.0,11,4.0,1986.0,2017.0
10384,5.0,24.0,411.0,4.0,4.0,4.0,11/27/2019,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,20,5.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153744.0,80.0,5.0,44  JACKES AVE ,4.0,4.0,12,3.0,1967.0,2017.0
10385,4.0,13.0,169.0,3.0,4.0,4.0,11/19/2019,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,19,0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154266.0,76.0,5.0,320  NISKA RD ,3.0,4.0,07,3.0,1974.0,2017.0
10386,4.0,7.0,96.0,3.0,3.0,3.0,02/04/2019,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,20,3.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154277.0,66.0,3.0,50  PEARLDALE AVE ,3.0,3.0,07,4.0,1965.0,2017.0
10387,4.0,9.0,187.0,4.0,4.0,4.0,03/13/2019,4.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,20,5.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154279.0,79.0,5.0,2050  KEELE ST ,3.0,3.0,05,5.0,1959.0,2017.0
